FID,COUNTY,DLAT_GIS,DLONG_GIS,LINE,STOP_NUM,STOP_TYPE,STREET_DIR,DESCRIPTION_BSL,DIRECTION_OP,MUNICIPALITY,GlobalID
30459,Essex,40.7266,-74.22741,25,17869,NS,E,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,5f8976b4-0f63-4a8d-885a-c5fa9eb7bcd5
30460,Essex,40.7266,-74.22741,70,17869,NS,E,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,f7c018df-d0cb-483f-9a43-d1b765452680
30461,Essex,40.7266,-74.22741,375,17869,NS,E,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,6e647b5a-8afc-4270-89d1-8c7ac3ac57a8
30462,Essex,40.72617,-74.22724,26,31250,TM,S,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,1090629c-905e-4e40-b8b7-6a07b0d4f530
30463,Essex,40.72617,-74.22724,27,31250,TM,S,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,4b51f0a8-bb8a-4fe1-9bb9-cbe278ba9bb0
30464,Essex,40.72659,-74.22724,107,31251,TM,N,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,d93d41ba-5717-463b-9fc9-1c0aca314a9e
30465,Essex,40.72659,-74.22724,250,31251,TM,N,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,54634616-3665-4ae3-bfa5-eddff2d607d4
30466,Essex,40.72663,-74.2271,13,17843,TM,N,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,e9970321-88ef-4592-a7e7-c76c91b30d15
30467,Essex,40.72663,-74.2271,37,17843,TM,N,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,e963fe47-c5a3-4c09-a168-47c398fa55eb
30468,Essex,40.72663,-74.2271,90,17843,TM,N,IRVINGTON BUS TERMINAL,In,IRVINGTON TWP,5d272ddc-d887-4c01-813c-26c58cb898c0
30469,Essex,40.72617,-74.22724,26,31250,TM,S,IRVINGTON BUS TERMINAL,Ou,IRVINGTON TWP,b2280a83-9d17-4329-abb5-aa069b3a002e
30470,Essex,40.72617,-74.22724,27,31250,TM,S,IRVINGTON BUS TERMINAL,Ou,IRVINGTON TWP,794c0c4a-e0b7-4e6a-adec-aacb72d53723
30471,Essex,40.72628,-74.22717,37,31249,TM,S,IRVINGTON BUS TERMINAL,Ou,IRVINGTON TWP,abfa7a2d-046d-4dcb-b0cb-4a1b870a6509
30472,Essex,40.72628,-74.22717,90,31249,TM,S,IRVINGTON BUS TERMINAL,Ou,IRVINGTON TWP,3963be37-8bc5-4e15-94fb-f0703f608f35
30473,Essex,40.72628,-74.22717,107,31249,TM,S,IRVINGTON BUS TERMINAL,Ou,IRVINGTON TWP,e27cadf7-9254-4b07-93ff-262a12e2f678
30474,Essex,40.72659,-74.22724,250,31251,TM,N,IRVINGTON BUS TERMINAL,Ou,IRVINGTON TWP,373c12f3-9ce2-43da-b549-dd06e2eb9d00
30475,Essex,40.72663,-74.2271,13,17843,TM,N,IRVINGTON BUS TERMINAL,Ou,IRVINGTON TWP,d9309d95-c20d-4480-bd04-a98dac5ec193
30476,Essex,40.79564,-74.19718,34,17247,NS,N,LIBERTY ST AT BROAD ST,In,BLOOMFIELD TWP,d78a376c-7efe-4d00-aa9a-f0c7d0664f52
30477,Essex,40.7117,-74.2169,13,18709,NS,W,LYONS AVE AT ALDINE ST,In,NEWARK,4bb8c751-e97d-4e37-a18c-8129a65bd18f
30478,Essex,40.71172,-74.2172,37,18698,NS,E,LYONS AVE AT ALDINE ST,In,NEWARK,572b38e3-e09a-403e-9511-a28838b50ae5
30479,Essex,40.71172,-74.2172,107,18698,NS,E,LYONS AVE AT ALDINE ST,In,NEWARK,b1ca8e46-4bb5-41bd-821c-c85bfc12978b
30480,Essex,40.7117,-74.2169,37,18709,NS,W,LYONS AVE AT ALDINE ST,Ou,NEWARK,3d53af93-6513-407c-84d5-230aa9421757
30481,Essex,40.7117,-74.2169,107,18709,NS,W,LYONS AVE AT ALDINE ST,Ou,NEWARK,0999f69e-6c85-4fbf-b592-b58a1d0c374d
30482,Essex,40.71172,-74.2172,13,18698,NS,E,LYONS AVE AT ALDINE ST,Ou,NEWARK,27aa93a1-96bb-4d3a-bbf3-e04a539de8a7
30483,Essex,40.7075,-74.20899,99,18705,FS,W,LYONS AVE AT BERGEN ST,In,NEWARK,07b6a47d-730a-4425-b60a-6b9809fe6af1
30484,Essex,40.70734,-74.20893,37,18702,NS,E,LYONS AVE AT BERGEN ST,In,NEWARK,990316a5-a5a7-43d7-8fe4-bf66aeb49854
30485,Essex,40.70734,-74.20893,107,18702,NS,E,LYONS AVE AT BERGEN ST,In,NEWARK,051b1fa3-b09e-401e-9d5b-214bb799c0aa
30486,Essex,40.7075,-74.20899,37,18705,FS,W,LYONS AVE AT BERGEN ST,Ou,NEWARK,400b59ab-fe26-4481-8292-ba68655bed31
30487,Essex,40.7075,-74.20899,39,18705,FS,W,LYONS AVE AT BERGEN ST,Ou,NEWARK,63d58ec7-4c1b-46ce-b554-a8daa51bffb3
30488,Essex,40.7075,-74.20899,107,18705,FS,W,LYONS AVE AT BERGEN ST,Ou,NEWARK,ebb22253-a4e8-4ac5-8fe1-4ee27077d718
30489,Essex,40.71342,-74.22053,13,18711,NS,W,LYONS AVE AT LESLIE ST,In,NEWARK,6e24d117-3c6d-41de-86af-c7013d781566
30490,Essex,40.71347,-74.22089,37,18696,NS,E,LYONS AVE AT LESLIE ST,In,NEWARK,2375a4bd-c033-4dd1-9784-dff1ce7cbe0c
30491,Essex,40.71347,-74.22089,107,18696,NS,E,LYONS AVE AT LESLIE ST,In,NEWARK,e73115f3-ee90-43e3-a219-c06282c1ccbc
30492,Essex,40.71342,-74.22053,37,18711,NS,W,LYONS AVE AT LESLIE ST,Ou,NEWARK,d6a5d8ee-655c-4e1e-8021-d7a3efdf5301
30493,Essex,40.71342,-74.22053,107,18711,NS,W,LYONS AVE AT LESLIE ST,Ou,NEWARK,14c9acc9-77ed-420a-8cb8-775ad8cd1d01
30494,Essex,40.71347,-74.22089,13,18696,NS,E,LYONS AVE AT LESLIE ST,Ou,NEWARK,a63683d8-dee6-4151-b031-cceed87611ab
30495,Essex,40.71011,-74.21395,37,18700,NS,E,LYONS AVE AT MAPLE AVE,In,NEWARK,b5ea3c63-7bad-43b1-b91a-408bd7110412
30496,Essex,40.71011,-74.21395,107,18700,NS,E,LYONS AVE AT MAPLE AVE,In,NEWARK,4677261e-284b-4daf-9d8e-5b6d1977f0ff
30497,Essex,40.7063,-74.20718,37,18703,FS,E,LYONS AVE AT PORTER PL,In,NEWARK,b2d3227b-66fd-453d-b305-cc5a86c8c7d4
30498,Essex,40.7063,-74.20718,107,18703,FS,E,LYONS AVE AT PORTER PL,In,NEWARK,9fc33b1d-209b-4b07-a853-aa960fbcc958
30499,Essex,40.70645,-74.20716,37,18704,NS,W,LYONS AVE AT PORTER PL,Ou,NEWARK,360bac93-0588-4adf-ac7f-f95f92d8f26f
30500,Essex,40.70645,-74.20716,107,18704,NS,W,LYONS AVE AT PORTER PL,Ou,NEWARK,fa05e33b-f809-4606-bfbf-451f09bfa0a5
30501,Essex,40.7159,-74.30849,70,18097,FS,N,MAIN ST AT MECHANIC ST,In,MILLBURN TWP,7aa77089-5b69-4545-81bd-75eb4cbe909e
30502,Essex,40.71559,-74.30868,70,18103,FS,S,MAIN ST AT MECHANIC ST,Ou,MILLBURN TWP,7502b5bf-0261-4e4a-9f80-5ade873ba644
30503,Essex,40.77373,-74.23387,21,17377,NS,E,MAIN ST AT SCOTLAND RD,In,ORANGE,dcac7baa-6701-49f1-8fa7-b5042ee2ea0e
30504,Essex,40.77373,-74.23387,71,17377,NS,E,MAIN ST AT SCOTLAND RD,In,ORANGE,fc5d39f0-4023-4917-be23-4b75e0270cac
30505,Essex,40.77373,-74.23387,73,17377,NS,E,MAIN ST AT SCOTLAND RD,In,ORANGE,4c118731-1a15-44c0-88d2-cc22647b6037
30506,Essex,40.77373,-74.23387,79,17377,NS,E,MAIN ST AT SCOTLAND RD,In,ORANGE,570c8775-71f5-4cb9-b46e-efd443290a1b
30507,Essex,40.70984,-74.21406,99,18724,FS,S,MAPLE AVE AT LYONS AVE,In,NEWARK,8ef0e816-2172-4a45-ae2b-776437972c97
30508,Essex,40.70993,-74.21384,39,18723,NS,N,MAPLE AVE AT LYONS AVE,In,NEWARK,b1c0bf2d-7b84-47a8-a0f1-b2ff8941998d
30509,Essex,40.70984,-74.21406,39,18724,FS,S,MAPLE AVE AT LYONS AVE,Ou,NEWARK,276cbf24-588a-43fe-b968-a86b55e80132
30510,Essex,40.70993,-74.21384,99,18723,NS,N,MAPLE AVE AT LYONS AVE,Ou,NEWARK,5f20d7b0-bbd4-4a2b-90a7-7f7a807c0110
30511,Essex,40.73605,-74.17351,5,18744,NS,W,MARKET ST AT HALSEY ST,Ou,NEWARK,3f372895-1c71-417b-bffc-51845a72fe1c
30512,Essex,40.73605,-74.17351,11,18744,NS,W,MARKET ST AT HALSEY ST,Ou,NEWARK,4a30d4a5-4161-4299-bbed-0c35d44ea2f4
30513,Essex,40.73605,-74.17351,21,18744,NS,W,MARKET ST AT HALSEY ST,Ou,NEWARK,e87a1261-f822-4555-8d5e-fc5b18f69147
30514,Essex,40.73605,-74.17351,28,18744,NS,W,MARKET ST AT HALSEY ST,Ou,NEWARK,6350b7ea-9776-4e69-954e-6a6e55406db5
30515,Essex,40.73605,-74.17351,29,18744,NS,W,MARKET ST AT HALSEY ST,Ou,NEWARK,dc40ea27-391a-4225-aeff-85ddaa311ff8
30516,Essex,40.73605,-74.17351,34,18744,NS,W,MARKET ST AT HALSEY ST,Ou,NEWARK,21b01f7e-9acf-481f-9d44-cb45abccbabc
30517,Essex,40.73222,-74.1571,108,18735,NS,E,MARKET ST AT MONROE ST,In,NEWARK,805cd77e-dc84-41eb-9d0b-3491a25e4221
30518,Essex,40.73222,-74.1571,40,18735,NS,E,MARKET ST AT MONROE ST,Ou,NEWARK,797b25f9-3fa2-48f8-a4f3-173b93b12020
30519,Essex,40.78305,-74.19916,94,17258,NS,S,MYRTLE ST AT ORANGE ST,In,BLOOMFIELD TWP,bae575a7-b273-4d2f-8832-415ec60cf2c1
30520,Essex,40.71256,-74.17063,40,19214,TM,W,NORTHERN STATE PRISON#,In,NEWARK,181d5231-f218-4ca7-afd4-091492beea1e
30521,Essex,40.71256,-74.17063,40,19214,TM,W,NORTHERN STATE PRISON#,Ou,NEWARK,e5bf59ea-5896-498b-bd03-def0d4bd7ddb
30522,Essex,40.74744,-74.17619,29,18805,NS,E,ORANGE ST AT BOYDEN ST,In,NEWARK,b8c3a239-bea2-4bcf-8320-145a43c9a3d5
30523,Essex,40.71382,-74.23013,26,17768,NS,E,CHANCELLOR AVE AT COIT ST,In,IRVINGTON TWP,2588d2ec-f85a-4cc9-870d-a3a3f1542430
30524,Essex,40.71382,-74.23013,39,17768,NS,E,CHANCELLOR AVE AT COIT ST,In,IRVINGTON TWP,0cb6345e-1456-4aa3-a4b9-ed17838cf56e
30525,Essex,40.71377,-74.22975,39,17771,NS,W,CHANCELLOR AVE AT COIT ST,Ou,IRVINGTON TWP,dfff5402-edfa-405f-8c43-b0e47c75b645
30526,Essex,40.71819,-74.24261,39,17775,NS,W,CHANCELLOR AVE AT PARK PL,Ou,IRVINGTON TWP,8232d787-ad3d-41b2-9da0-66439b7d7c4f
30527,Essex,40.73492,-74.13985,1,18441,NS,N,CHAPEL ST AT RIVERVIEW CT,In,NEWARK,58c71fff-cc24-4f5d-9790-f0654a15cfc7
30528,Essex,40.73502,-74.14003,1,18443,NS,S,CHAPEL ST AT RIVERVIEW CT,Ou,NEWARK,93ef52a2-b605-43c1-a4e9-ee5a6f2ea2db
30529,Essex,40.72294,-74.21029,13,18455,NS,E,CLINTON AVE AT CLINTON PL,Ou,NEWARK,9305578b-f676-4bec-b1f3-b295a2916e4e
30530,Essex,40.72987,-74.24244,37,17798,NS,W,CLINTON AVE AT ELLERY AVE,Ou,IRVINGTON TWP,3beb74d4-28f4-41bf-9646-172024c8016e
30531,Essex,40.72987,-74.24244,107,17798,NS,W,CLINTON AVE AT ELLERY AVE,Ou,IRVINGTON TWP,33c6baf1-2e6f-4f4f-8ca2-e6f312ec7b1b
30532,Essex,40.72824,-74.23137,37,17793,NS,W,CLINTON AVE AT ORANGE AVE,Ou,IRVINGTON TWP,a187f0b6-c9ad-4ed0-953d-f391d8df045b
30533,Essex,40.72824,-74.23137,94,17793,NS,W,CLINTON AVE AT ORANGE AVE,Ou,IRVINGTON TWP,c4a59be0-b7fe-41be-b1ca-b198c091601a
30534,Essex,40.72824,-74.23137,107,17793,NS,W,CLINTON AVE AT ORANGE AVE,Ou,IRVINGTON TWP,a5d9d2ce-a6a0-4544-86ff-60d2a1aadb8a
30535,Essex,40.72558,-74.22583,13,17792,NS,W,CLINTON AVE AT SHARON AVE,In,IRVINGTON TWP,b53e4cb3-3202-4b59-ae4e-1ed50b809b71
30536,Essex,40.72558,-74.22583,90,17792,NS,W,CLINTON AVE AT SHARON AVE,In,IRVINGTON TWP,3269f361-3987-43ee-acd6-065c790885eb
30537,Essex,40.72558,-74.22583,27,17792,NS,W,CLINTON AVE AT SHARON AVE,Ou,IRVINGTON TWP,73dfa256-69ec-4fa9-a921-5fec32abe2e7
30538,Essex,40.72914,-74.23804,37,17780,NS,E,CLINTON AVE AT SHERMAN PL,In,IRVINGTON TWP,b15ee277-99cb-4853-adf8-f8b5d1ad59c1
30539,Essex,40.72914,-74.23804,107,17780,NS,E,CLINTON AVE AT SHERMAN PL,In,IRVINGTON TWP,fd2856cc-d236-4a87-a77d-b5788d665b10
30540,Essex,40.72234,-74.204,13,18476,NS,W,CLINTON AVE AT TREACY AVE,In,NEWARK,57919cb1-560d-4f67-84d7-01bbd133821a
30541,Essex,40.72289,-74.21008,13,18488,NS,N,CLINTON PL AT CLINTON AVE,Ou,NEWARK,970e2ede-6c98-4ff7-87cf-ad9c1266352a
30542,Essex,40.72181,-74.21042,13,18489,NS,S,CLINTON PL AT RANDOLPH PL,In,NEWARK,c7709492-236e-4c2d-ad10-95dd6627611e
30543,Essex,40.73091,-74.16108,1,30553,FS,W,FERRY ST AT JEFFERSON ST,Ou,NEWARK,41ac1c5d-3ea2-4666-959c-111eddca0fe5
30544,Essex,40.73091,-74.16108,25,30553,FS,W,FERRY ST AT JEFFERSON ST,Ou,NEWARK,21339c15-9ba0-40c3-a193-10ea76935faa
30545,Essex,40.72985,-74.14563,1,18577,NS,E,FERRY ST AT LEXINGTON ST,In,NEWARK,91a7c800-9b75-4daa-b3d9-dce033caff89
30546,Essex,40.73144,-74.14573,1,18599,FS,W,FLEMING AVE AT OXFORD ST,Ou,NEWARK,0ec4701e-a1fd-4745-abb9-fb259c2451ee
30547,Essex,40.8091,-74.16631,74,19253,NS,N,FRANKLIN AVE AT ESSEX ST,Ou,NUTLEY TWP,4e4c2afa-41de-4a66-9be4-6e2b2f6770e3
30548,Essex,40.82184,-74.15773,74,19266,NS,S,FRANKLIN AVE AT LLOYD ST,In,NUTLEY TWP,dfdd4d44-b103-4e7e-8888-681d1d58fe78
30549,Essex,40.82162,-74.15773,74,19258,NS,N,FRANKLIN AVE AT LLOYD ST,Ou,NUTLEY TWP,15564d8c-fbbc-4f22-92cd-c0d7c40f3987
30550,Essex,40.75437,-74.16753,76,19205,NS,E,GOUVERNOUR ST at RT-21 #,Ou,NEWARK,a93ecd56-2b41-4479-8100-ae90e56a072e
30551,Essex,40.77382,-74.19391,90,17229,NS,E,GROVE ST AT ABINGTON AVE,In,BLOOMFIELD TWP,8a4fa534-dee0-4c71-ae45-5e14e0f1b7ab
30552,Essex,40.77383,-74.19403,90,17236,FS,W,GROVE ST AT ABINGTON AVE,Ou,BLOOMFIELD TWP,bd1728c0-ec1f-4cf0-b26f-7344521e2e35
30553,Essex,40.74351,-74.21095,90,18634,MB,N,GROVE ST AT S ORANGE AVE,In,NEWARK,62aadc9a-378f-47e9-8601-53cff5fad8a8
30554,Essex,40.74419,-74.21078,90,18637,NS,S,GROVE ST AT S ORANGE AVE,Ou,NEWARK,b7b6af8f-09f8-4b00-95b3-28e519f904e4
30555,Essex,40.77693,-74.19065,90,17230,NS,E,GROVE ST AT TUNBRIDGE PL,In,BLOOMFIELD TWP,9eb1f834-8d5d-4506-a28c-bd6ac1cc615c
30556,Essex,40.76315,-74.21925,97,17540,NS,S,HALSTED ST AT HALSTED PL,Ou,EAST ORANGE,f18f10de-69c8-4a8b-8591-a9d98a719654
30557,Essex,40.76178,-74.2202,97,17537,NS,N,HALSTED ST AT HARVARD ST,In,EAST ORANGE,af30b171-f745-4d1c-9171-f80808b5f58e
30558,Essex,40.76203,-74.2201,97,17541,NS,S,HALSTED ST AT HARVARD ST,Ou,EAST ORANGE,541e2817-9c4b-48e6-87e3-caf9280b4c7c
30559,Essex,40.79482,-74.22917,97,19443,FS,N,HARRISON AVE AT MAPLE ST,In,WEST ORANGE TWP,18a8ede8-f6eb-4735-8857-36264ca5d242
30560,Essex,40.81073,-74.22275,97,32484,NS,N,HARRISON AVE AT UNION ST,In,MONTCLAIR TWP,79e0ae6a-8588-4e28-b9a6-c64a050db666
30561,Essex,40.72324,-74.25124,25,18071,FS,E,HILTON GARAGE TIME POINT,In,MAPLEWOOD TWP,927fde7f-dd48-41f9-b7e0-845590d5926a
30562,Essex,40.72324,-74.25124,70,18071,FS,E,HILTON GARAGE TIME POINT,In,MAPLEWOOD TWP,4726bbe6-9cff-4490-b6c3-cfc7d9e82e98
30563,Essex,40.72324,-74.25124,375,18071,FS,E,HILTON GARAGE TIME POINT,In,MAPLEWOOD TWP,6eb54649-91fb-4ab5-8ce4-d2eacb402d46
30564,Essex,40.72338,-74.25095,25,18072,MB,W,HILTON GARAGE TIME POINT,Ou,MAPLEWOOD TWP,09368159-4cb1-425e-bdcc-c2bf74038425
30565,Essex,40.72338,-74.25095,70,18072,MB,W,HILTON GARAGE TIME POINT,Ou,MAPLEWOOD TWP,fdeed21f-bdb3-40de-a63a-bbaeedb66082
30566,Essex,40.72338,-74.25095,375,18072,MB,W,HILTON GARAGE TIME POINT,Ou,MAPLEWOOD TWP,fd9037e2-8350-4f77-9dee-12a8f72f138c
30567,Essex,40.77948,-74.23823,21,19448,MB,N,MAIN ST 40'N OF WHITE ST,Ou,WEST ORANGE TWP,9cc41037-7416-4a2e-9241-211a096ee0fe
30568,Essex,40.77508,-74.23613,21,17389,MB,W,MAIN ST 80' W OF BELL ST,Ou,ORANGE,abfb5009-a397-4d3d-8a48-001b9f50184b
30569,Essex,40.77508,-74.23613,71,17389,MB,W,MAIN ST 80' W OF BELL ST,Ou,ORANGE,38edcc33-88bd-4a0d-a547-935691fe0245
30570,Essex,40.77508,-74.23613,73,17389,MB,W,MAIN ST 80' W OF BELL ST,Ou,ORANGE,e05dd94e-4ce9-43ca-b814-0985456888b9
30571,Essex,40.77508,-74.23613,79,17389,MB,W,MAIN ST 80' W OF BELL ST,Ou,ORANGE,b2ae8722-f5ae-41de-8f15-46351c3e5a3a
30572,Essex,40.78821,-74.23116,21,19460,NS,S,MAIN ST AT LLEWELLYN AVE,In,WEST ORANGE TWP,0b16f70e-1941-4e60-8e68-f402cbfbed15
30573,Essex,40.79172,-74.23332,21,19457,FS,S,MAIN ST AT PARK DR NORTH,In,WEST ORANGE TWP,5f2e4736-821f-4a31-b356-f0c9c6dd1c7d
30574,Essex,40.79172,-74.23332,97,19457,FS,S,MAIN ST AT PARK DR NORTH,Ou,WEST ORANGE TWP,e83efbd3-b1da-441e-b649-c152623d7050
30575,Essex,40.70509,-74.21835,99,18728,NS,S,MAPLE AVE AT GRUMMAN AVE,In,NEWARK,4e3f4e22-9bfb-4a23-aff5-087e92e7e221
30576,Essex,40.73118,-74.15227,108,18737,FS,E,MARKET ST AT FERGUSON ST,In,NEWARK,cba465bb-e2c8-4cea-baa6-720e2e4c9ea7
30577,Essex,40.73074,-74.15013,108,18738,NS,E,MARKET ST AT FILLMORE ST,In,NEWARK,13035ab9-8b49-43c3-afb8-57a9651d14e0
30578,Essex,40.73484,-74.16987,1,18731,NS,E,MARKET ST AT MULBERRY ST,In,NEWARK,1f4e0a45-38cb-4d95-97e2-71e43b0ac6f3
30579,Essex,40.73484,-74.16987,25,18731,NS,E,MARKET ST AT MULBERRY ST,In,NEWARK,845e0eec-8f47-4a35-857f-23f0c1da8ea6
30580,Essex,40.73484,-74.16987,34,18731,NS,E,MARKET ST AT MULBERRY ST,In,NEWARK,00929c1a-d825-4a14-a912-f741b1128189
30581,Essex,40.73484,-74.16987,250,18731,NS,E,MARKET ST AT MULBERRY ST,In,NEWARK,3a002ccc-e432-4462-a426-45309a2d3ca8
30582,Essex,40.73484,-74.16987,361,18731,NS,E,MARKET ST AT MULBERRY ST,In,NEWARK,a2dae865-bcd6-497c-99d3-d58d22c36ead
30583,Essex,40.73484,-74.16987,375,18731,NS,E,MARKET ST AT MULBERRY ST,In,NEWARK,d043b2df-60b2-46f6-bccb-24aa7cd3c8b0
30584,Essex,40.73485,-74.16901,1,18742,NS,W,MARKET ST AT MULBERRY ST,Ou,NEWARK,891cba0e-01eb-4af0-b4bc-97151dc20cfc
30585,Essex,40.73485,-74.16901,25,18742,NS,W,MARKET ST AT MULBERRY ST,Ou,NEWARK,5693946f-4e2a-4d13-9f86-88aa71f0d57c
30586,Essex,40.73485,-74.16901,34,18742,NS,W,MARKET ST AT MULBERRY ST,Ou,NEWARK,3a065d11-a906-47d6-b76f-88460a0ed5bd
30587,Essex,40.73485,-74.16901,250,18742,NS,W,MARKET ST AT MULBERRY ST,Ou,NEWARK,34747711-2b33-4194-85a7-9fafd0701f2a
30588,Essex,40.73485,-74.16901,361,18742,NS,W,MARKET ST AT MULBERRY ST,Ou,NEWARK,1d4888b1-7f2b-41d6-97b4-005dc3a37fa7
30589,Essex,40.73485,-74.16901,375,18742,NS,W,MARKET ST AT MULBERRY ST,Ou,NEWARK,5fb7be0f-3142-4b04-9f8d-5de79e513f34
30590,Essex,40.69422,-74.14872,40,31894,FS,E,MARSH ST AT MARITIME ST#,In,NEWARK,fc8f492a-c919-4b5f-90f4-46358572702d
30591,Essex,40.69422,-74.14872,40,31894,FS,E,MARSH ST AT MARITIME ST#,Ou,NEWARK,c4de8464-f541-4e4c-b825-575a6d436618
30592,Essex,40.72968,-74.16673,34,18747,NS,S,MCWHORTER ST AT GREEN ST,In,NEWARK,233640c9-17b4-4648-9fb6-6b879cfd00a2
30593,Essex,40.7304,-74.1821,5,19092,NS,E,MLK JR BLVD AT KINNEY ST,In,NEWARK,e9311dbd-08aa-4aeb-aae6-1a8499037564
30594,Essex,40.73061,-74.18239,5,19093,FS,W,MLK JR BLVD AT KINNEY ST,Ou,NEWARK,40414f73-b4df-43cd-acdf-df8c8b5a3a14
30595,Essex,40.74695,-74.18243,99,18796,FS,S,NORFOLK ST AT SUSSEX AVE,In,NEWARK,6acfa6d6-8536-41d8-8718-8cf80fd17b5d
30596,Essex,40.74722,-74.18211,99,18793,NS,N,NORFOLK ST AT SUSSEX AVE,Ou,NEWARK,7d4ff5b7-b305-4874-a979-163ab0445d09
30597,Essex,40.85759,-74.20003,28,18205,NS,W,NORMAL AVE AT VALLEY RD#,Ou,MONTCLAIR TWP,5c9a0eef-134d-4336-8a12-bb1a4cbf7a77
30598,Essex,40.85759,-74.20003,191,18205,NS,W,NORMAL AVE AT VALLEY RD#,Ou,MONTCLAIR TWP,bf373f94-9a6a-44d2-b434-c0d3bcfe112f
30599,Essex,40.85759,-74.20003,705,18205,NS,W,NORMAL AVE AT VALLEY RD#,Ou,MONTCLAIR TWP,73705233-d3ab-4ced-aab9-24ce00dc4863
30600,Essex,40.78,-74.22397,92,17394,NS,N,NORTH DAY ST AT ALDEN ST,In,ORANGE,8c91db1a-6dec-4a2b-b8d1-0b04eba9fde3
30601,Essex,40.77644,-74.22659,92,17393,NS,N,NORTH DAY ST AT PARK AVE,In,ORANGE,af276c3d-5a18-4068-8234-e3dce96bef98
30602,Essex,40.77675,-74.2265,92,17395,NS,S,NORTH DAY ST AT PARK AVE,Ou,ORANGE,4c0c3a25-dc0e-4c2f-be9a-2e5b38177c5e
30603,Essex,40.7746,-74.2279,92,17392,NS,N,NORTH DAY ST AT WHITE ST,In,ORANGE,e2a91f45-9094-4600-9c29-7b4359d2ef33
30604,Essex,40.77497,-74.22776,92,17396,NS,S,NORTH DAY ST AT WHITE ST,Ou,ORANGE,b75b991a-2ede-4d5e-9eee-ddae99b3bd5f
30605,Essex,40.72316,-74.16785,34,18817,NS,N,PACIFIC ST AT MALVERN ST,Ou,NEWARK,e0e14d27-66a7-4520-bb0c-84bec9e16dd6
30606,Essex,40.7774,-74.22847,41,17398,NS,E,PARK AVE AT CLEVELAND ST,In,ORANGE,e7b8c055-0417-4ce8-8de9-89c9b7625845
30607,Essex,40.77741,-74.22815,41,17402,NS,W,PARK AVE AT CLEVELAND ST,Ou,ORANGE,69498321-9021-41de-87ab-cfe96dcd8cd3
30608,Essex,40.77265,-74.21789,41,17585,NS,E,PARK AVE AT GLENWOOD AVE,In,EAST ORANGE,81a20743-edf5-4063-ae39-7d6d91878376
30609,Essex,40.77287,-74.21802,41,17608,FS,W,PARK AVE AT GLENWOOD AVE,Ou,EAST ORANGE,99661e31-6084-446e-9556-f9a8518f395e
30610,Essex,40.7591,-74.18697,41,18822,NS,E,PARK AVE AT NORTH 6TH ST,In,NEWARK,8048bd40-ad6b-4d97-a26a-007fff53a908
30611,Essex,40.75916,-74.18663,41,18828,NS,W,PARK AVE AT NORTH 6TH ST,Ou,NEWARK,0df4d1c4-5056-405f-a84e-4c76e4d5b6da
